system,symbol,n_trades,positive_segments,segments,expectancy_acct_pct,ci_low,ci_high,median_acct_pct,win_rate,profit_factor
base,BTC+ETH,305,18,24,0.01149212809439868,0.001848241560926851,0.022318935756448503,-0.0074049668947886475,0.18360655737704917,1.7228726472737117
sized,BTC+ETH,416,16,24,0.003214851645656156,-0.0001774261587481025,0.007269609234838696,-0.004335358635348622,0.1875,1.5316266819187117
hybrid,BTC+ETH,305,18,24,0.0007661418729599124,0.0001232161040617906,0.001487929050429901,-0.0004936644596525697,0.18360655737704917,1.763012657684625
base,BTC,155,9,12,0.008997026349115006,-0.003723673996606773,0.0236446801858321,-0.007051465688241904,0.15483870967741936,1.5271641512324148
base,ETH,150,9,12,0.014070399897858481,-0.00046753235647129323,0.02969059739909786,-0.007706582262216261,0.21333333333333335,1.8964873815520702
sized,BTC,209,7,12,0.0031189298129629455,-0.0019362407889779222,0.009230842267964027,-0.004821618871233361,0.18181818181818182,1.4520185963224037
sized,ETH,207,9,12,0.0033117002593415707,-0.00100729481042704,0.008450603047510163,-0.0036785582040797333,0.1932367149758454,1.6213671812018202
hybrid,BTC,155,9,12,0.0005998017566076668,-0.0002482449331071188,0.0015763120123888064,-0.0004700977125494642,0.15483870967741936,1.6579275139143144
hybrid,ETH,150,9,12,0.0009380266598572329,-3.116882376475185e-05,0.0019793731599398586,-0.0005137721508144255,0.21333333333333335,1.8513860552854404
