asset,origin,variant,n_trades,expectancy,test_return,max_dd
BTC,2021-07-01 00:00:00+00:00,base,8,0.0025898644568033875,0.020570310095389344,-0.018085806814581162
BTC,2021-07-01 00:00:00+00:00,v_dump,11,0.001912091681438261,0.02074496862408548,-0.013767714519546281
BTC,2021-07-01 00:00:00+00:00,v_dump_range,11,0.0018630508139171338,0.020194521273625865,-0.014082575866637637
BTC,2021-07-01 00:00:00+00:00,v_dump_pump,11,0.001912091681438261,0.02074496862408548,-0.013767714519546281
BTC,2021-07-01 00:00:00+00:00,v_all,11,0.0018630508139171338,0.020194521273625865,-0.014082575866637637
BTC,2021-11-28 00:00:00+00:00,base,15,-0.0008669200356370976,-0.012951421782767425,-0.01884988494842288
BTC,2021-11-28 00:00:00+00:00,v_dump,16,-0.0009727484689301313,-0.015470737853553351,-0.020546923125723704
BTC,2021-11-28 00:00:00+00:00,v_dump_range,16,-0.0009727484689301313,-0.015470737853553351,-0.020546923125723704
BTC,2021-11-28 00:00:00+00:00,v_dump_pump,16,-0.0009727484689301313,-0.015470737853553351,-0.020546923125723704
BTC,2021-11-28 00:00:00+00:00,v_all,16,-0.0009727484689301313,-0.015470737853553351,-0.020546923125723704
BTC,2022-04-27 00:00:00+00:00,base,4,-0.0015277694760775962,-0.002760467071397432,-0.007762353547556611
BTC,2022-04-27 00:00:00+00:00,v_dump,5,-0.0011837807405001614,-0.0025696657024740777,-0.007572509187210752
BTC,2022-04-27 00:00:00+00:00,v_dump_range,5,-0.0011837807405001614,-0.0025696657024740777,-0.007572509187210752
BTC,2022-04-27 00:00:00+00:00,v_dump_pump,5,-0.0011837807405001614,-0.0025696657024740777,-0.007572509187210752
BTC,2022-04-27 00:00:00+00:00,v_all,5,-0.0011837807405001614,-0.0025696657024740777,-0.007572509187210752
BTC,2022-09-24 00:00:00+00:00,base,4,0.004084617227585295,0.026757616673538598,-0.01049991851621912
BTC,2022-09-24 00:00:00+00:00,v_dump,9,0.0027287145914898087,0.02465593391819576,-0.008049291231591815
BTC,2022-09-24 00:00:00+00:00,v_dump_range,9,0.0027287145914898087,0.02465593391819576,-0.008049291231591815
BTC,2022-09-24 00:00:00+00:00,v_dump_pump,9,0.0027287145914898087,0.02465593391819576,-0.008049291231591815
BTC,2022-09-24 00:00:00+00:00,v_all,9,0.0027287145914898087,0.02465593391819576,-0.008049291231591815
BTC,2023-02-21 00:00:00+00:00,base,13,6.377286916288156e-06,-8.553321458215635e-06,-0.012830518379384759
BTC,2023-02-21 00:00:00+00:00,v_dump,15,-7.215677248688978e-05,-0.001180539385215007,-0.01283051837938498
BTC,2023-02-21 00:00:00+00:00,v_dump_range,15,-7.215677248688978e-05,-0.001180539385215007,-0.01283051837938498
BTC,2023-02-21 00:00:00+00:00,v_dump_pump,15,-7.215677248688978e-05,-0.001180539385215007,-0.01283051837938498
BTC,2023-02-21 00:00:00+00:00,v_all,15,-7.215677248688978e-05,-0.001180539385215007,-0.01283051837938498
BTC,2023-07-21 00:00:00+00:00,base,12,0.0016422652672982534,0.019461788882305875,-0.014910741986433385
BTC,2023-07-21 00:00:00+00:00,v_dump,17,0.0005833196504808841,0.009825343894759753,-0.01235296861121149
BTC,2023-07-21 00:00:00+00:00,v_dump_range,17,0.0005833196504808841,0.009825343894759753,-0.01235296861121149
BTC,2023-07-21 00:00:00+00:00,v_dump_pump,17,0.0005833196504808841,0.009825343894759753,-0.01235296861121149
BTC,2023-07-21 00:00:00+00:00,v_all,17,0.0005833196504808841,0.009825343894759753,-0.01235296861121149
BTC,2023-12-18 00:00:00+00:00,base,23,0.0006119874035838238,0.013558905980469271,-0.021460181341423912
BTC,2023-12-18 00:00:00+00:00,v_dump,25,0.0004262629437989978,0.010089390923690544,-0.021460181341424356
BTC,2023-12-18 00:00:00+00:00,v_dump_range,23,0.0004831374873962832,0.010552334678070263,-0.021451758772957685
BTC,2023-12-18 00:00:00+00:00,v_dump_pump,25,0.0004262629437989978,0.010089390923690544,-0.021460181341424356
BTC,2023-12-18 00:00:00+00:00,v_all,23,0.0004831374873962832,0.010552334678070263,-0.021451758772957685
BTC,2024-05-16 00:00:00+00:00,base,22,-0.00012966237476481253,0.012059512147353901,-0.012778103614781489
BTC,2024-05-16 00:00:00+00:00,v_dump,27,0.0004160504148717384,0.012992877038271011,-0.01282209067640161
BTC,2024-05-16 00:00:00+00:00,v_dump_range,27,0.0004160504148717384,0.012992877038271011,-0.01282209067640161
BTC,2024-05-16 00:00:00+00:00,v_dump_pump,27,0.0004160504148717384,0.012992877038271011,-0.01282209067640161
BTC,2024-05-16 00:00:00+00:00,v_all,27,0.0004160504148717384,0.012992877038271011,-0.01282209067640161
BTC,2024-10-13 00:00:00+00:00,base,12,0.000950591344305383,0.01129791692154769,-0.015637012424034036
BTC,2024-10-13 00:00:00+00:00,v_dump,13,0.000974824788308262,0.012580422602200825,-0.015637012424034258
BTC,2024-10-13 00:00:00+00:00,v_dump_range,13,0.000974824788308262,0.012580422602200825,-0.015637012424034258
BTC,2024-10-13 00:00:00+00:00,v_dump_pump,13,0.000974824788308262,0.012580422602200825,-0.015637012424034258
BTC,2024-10-13 00:00:00+00:00,v_all,13,0.000974824788308262,0.012580422602200825,-0.015637012424034258
BTC,2025-03-12 00:00:00+00:00,base,7,0.0015240050262733443,0.010847004569431995,-0.00995605956574852
BTC,2025-03-12 00:00:00+00:00,v_dump,10,0.0009407259688207836,0.009560863521703045,-0.00933413617936052
BTC,2025-03-12 00:00:00+00:00,v_dump_range,10,0.0009407259688207836,0.009560863521703045,-0.00933413617936052
BTC,2025-03-12 00:00:00+00:00,v_dump_pump,10,0.0009407259688207836,0.009560863521703045,-0.00933413617936052
BTC,2025-03-12 00:00:00+00:00,v_all,10,0.0009407259688207836,0.009560863521703045,-0.00933413617936052
BTC,2025-08-09 00:00:00+00:00,base,21,-0.0003996888468220703,-0.008360852628998328,-0.012709294545312333
BTC,2025-08-09 00:00:00+00:00,v_dump,19,-0.0003550404874295785,-0.006724969232454137,-0.011080230207615727
BTC,2025-08-09 00:00:00+00:00,v_dump_range,18,-0.00035910096639989885,-0.0064448344996033136,-0.010801323795050721
BTC,2025-08-09 00:00:00+00:00,v_dump_pump,19,-0.0003550404874295785,-0.006724969232454137,-0.011080230207615727
BTC,2025-08-09 00:00:00+00:00,v_all,18,-0.00035910096639989885,-0.0064448344996033136,-0.010801323795050721
BTC,2026-01-06 00:00:00+00:00,base,15,1.2370604105802103e-06,-6.280937124070185e-06,-0.008292355278010533
BTC,2026-01-06 00:00:00+00:00,v_dump,16,3.341720873063553e-05,0.0004897579647547001,-0.008292355278010533
BTC,2026-01-06 00:00:00+00:00,v_dump_range,16,3.341720873063553e-05,0.0004897579647547001,-0.008292355278010533
BTC,2026-01-06 00:00:00+00:00,v_dump_pump,16,3.341720873063553e-05,0.0004897579647547001,-0.008292355278010533
BTC,2026-01-06 00:00:00+00:00,v_all,16,3.341720873063553e-05,0.0004897579647547001,-0.008292355278010533
ETH,2021-07-01 00:00:00+00:00,base,9,0.0034982764689484103,0.03150120458823946,-0.01773764453285398
ETH,2021-07-01 00:00:00+00:00,v_dump,15,0.0020525473885553256,0.030688126155990814,-0.01463574674424395
ETH,2021-07-01 00:00:00+00:00,v_dump_range,15,0.0020498747775190185,0.030646646924987753,-0.01463574674424406
ETH,2021-07-01 00:00:00+00:00,v_dump_pump,15,0.0020525473885553256,0.030688126155990814,-0.01463574674424395
ETH,2021-07-01 00:00:00+00:00,v_all,15,0.0020498747775190185,0.030646646924987753,-0.01463574674424406
ETH,2021-11-28 00:00:00+00:00,base,14,-0.000634542322578465,-0.00892602326660219,-0.0204971823736807
ETH,2021-11-28 00:00:00+00:00,v_dump,15,-0.0009079025214996081,-0.013566269604654901,-0.023242729625817526
ETH,2021-11-28 00:00:00+00:00,v_dump_range,15,-0.0009079025214996081,-0.013566269604654901,-0.023242729625817526
ETH,2021-11-28 00:00:00+00:00,v_dump_pump,15,-0.0009079025214996081,-0.013566269604654901,-0.023242729625817526
ETH,2021-11-28 00:00:00+00:00,v_all,15,-0.0009079025214996081,-0.013566269604654901,-0.023242729625817526
ETH,2022-04-27 00:00:00+00:00,base,6,0.0011852907998122256,0.013145368354621656,-0.01878720050238958
ETH,2022-04-27 00:00:00+00:00,v_dump,8,0.001000952646970686,0.013870157522593685,-0.013441600274406107
ETH,2022-04-27 00:00:00+00:00,v_dump_range,8,0.001000952646970686,0.013870157522593685,-0.013441600274406107
ETH,2022-04-27 00:00:00+00:00,v_dump_pump,8,0.001000952646970686,0.013870157522593685,-0.013441600274406107
ETH,2022-04-27 00:00:00+00:00,v_all,8,0.001000952646970686,0.013870157522593685,-0.013441600274406107
ETH,2022-09-24 00:00:00+00:00,base,6,0.0013900060053611532,0.013932751400571597,-0.016496819646143024
ETH,2022-09-24 00:00:00+00:00,v_dump,12,0.0009652224824485538,0.011573154732330337,-0.016211692814480094
ETH,2022-09-24 00:00:00+00:00,v_dump_range,12,0.00093998574231353,0.011266476854821406,-0.016211692814479872
ETH,2022-09-24 00:00:00+00:00,v_dump_pump,12,0.0009652224824485538,0.011573154732330337,-0.016211692814480094
ETH,2022-09-24 00:00:00+00:00,v_all,12,0.00093998574231353,0.011266476854821406,-0.016211692814479872
ETH,2023-02-21 00:00:00+00:00,base,13,-0.0005082967616809605,-0.006624822404070807,-0.016391414844796115
ETH,2023-02-21 00:00:00+00:00,v_dump,18,-0.00046912552813360773,-0.00844396562957539,-0.016513796582651175
ETH,2023-02-21 00:00:00+00:00,v_dump_range,18,-0.00046912552813360773,-0.00844396562957539,-0.016513796582651175
