strategy,label,split,total_return,cagr,max_drawdown,sharpe,volatility,n_trades,win_rate,profit_factor,expectancy_pct,avg_holding_bars,benchmark_return
buy_hold,买入持有(基准),train,9.115100394746202,0.5650785884331861,-0.7718820662906439,1.020129043683976,0.6460636029228471,0,,,,,9.130929525111993
buy_hold,买入持有(基准),test,-0.1444235143774456,-0.0882863686344042,-0.5370261199318802,-0.010514035120600417,0.4358984461983834,0,,,,,-0.14413888506340167
buy_hold,买入持有(基准),full,7.655914132722177,0.37013497250443717,-0.7718820662906439,0.8275725965922854,0.6014388456621801,0,,,,,7.669315282855113
sma_48_336,双均线 48/336,train,0.2012299335367198,0.036128346748237394,-0.049660684851274506,1.076507481115316,0.03346481782768984,106,0.3113207547169811,1.976717186144775,0.026711328444861522,234.8490566037736,9.130929525111993
sma_48_336,双均线 48/336,test,0.0012517418076152254,0.0007415588018444552,-0.022057500201802638,0.050046767699282034,0.018101440043476996,34,0.3235294117647059,1.0737615851524964,0.001440314227993085,212.73529411764707,-0.14413888506340167
sma_48_336,双均线 48/336,full,0.20273356326508574,0.027300556503295104,-0.049660684851274506,0.9003851295877667,0.030423322829818446,140,0.3142857142857143,1.800925477521051,0.020574082135050614,229.47857142857143,7.669315282855113
trend_1440,趋势过滤 收盘>SMA1440(60日),train,0.41134883973860825,0.06896954160843749,-0.07068194628849511,1.184823205001828,0.05765228984988865,151,0.10596026490066225,4.275994177875103,0.03750309518627048,166.25827814569536,9.130929525111993
trend_1440,趋势过滤 收盘>SMA1440(60日),test,0.003480794110033436,0.0020611628474580534,-0.03142376139405034,0.1051372288239815,0.01808017837004691,89,0.06741573033707865,0.6780337010025435,-0.002084502203207987,69.13483146067416,-0.14413888506340167
trend_1440,趋势过滤 收盘>SMA1440(60日),full,0.41629454288204437,0.05209467492030129,-0.07068194628849511,1.023314692541944,0.05088161067524707,240,0.09166666666666666,3.183331052623564,0.0228070499149877,130.25416666666666,7.669315282855113
trend_system_48_336_1440,趋势系统 48/336 + 60日闸门,train,0.3270454449893012,0.05630053800690282,-0.0803443450339526,0.990621216536044,0.05688382973153497,192,0.2916666666666667,1.6305829644607028,0.011509922959090056,98.55729166666667,9.130929525111993
trend_system_48_336_1440,趋势系统 48/336 + 60日闸门,test,0.02146058285805008,0.012661908753119233,-0.030665717546629834,0.4311969024774396,0.030286328873755774,53,0.20754716981132076,1.4452444311236061,0.003611434135859739,91.83018867924528,-0.14413888506340167
trend_system_48_336_1440,趋势系统 48/336 + 60日闸门,full,0.3555246137178931,0.045383870134944715,-0.0803443450339526,0.8852285166634453,0.05163555519983474,245,0.27346938775510204,1.607175714617613,0.00980127027488105,97.10204081632654,7.669315282855113
