segment,start,end,n_trades,expectancy_pct,win_rate,profit_factor,strat_return,bench_return,max_drawdown
1,2021-01-01 00:00:00+00:00,2021-07-02 00:00:00+00:00,13,0.026287462664527157,0.15384615384615385,2.577702957204192,0.5094759143663457,0.16483975067537204,-0.29172525221396306
2,2021-07-02 00:00:00+00:00,2021-12-31 00:00:00+00:00,8,0.03888685370575655,0.375,2.32998927976743,0.27204960005482626,0.3937653887468364,-0.213551276245602
3,2021-12-31 00:00:00+00:00,2022-07-01 00:00:00+00:00,15,-0.013016817351908351,0.06666666666666667,0.2528932861098074,-0.18322778960516284,-0.5688684067079095,-0.2518813800666969
4,2022-07-01 00:00:00+00:00,2022-12-30 00:00:00+00:00,6,-0.020824710470854473,0.0,0.0,-0.11876028066326683,-0.18061323236961868,-0.13953295865808657
5,2022-12-30 00:00:00+00:00,2023-06-30 00:00:00+00:00,7,0.04572174689442137,0.42857142857142855,2.8448212309417613,0.43534928064001543,0.830560352914576,-0.1750404812002131
6,2023-06-30 00:00:00+00:00,2023-12-29 00:00:00+00:00,11,0.030541757720771966,0.09090909090909091,4.207560840096168,0.27747612695518153,0.3930763231841963,-0.12685532690415846
7,2023-12-29 00:00:00+00:00,2024-06-28 00:00:00+00:00,22,0.010844968848513126,0.09090909090909091,1.7728484449322977,0.14101930710456378,0.4516433682936658,-0.23098401556510695
8,2024-06-28 00:00:00+00:00,2024-12-27 00:00:00+00:00,22,0.005488235473770537,0.22727272727272727,1.5111118801058434,0.09019201054061066,0.5561169590643273,-0.17282138432879224
9,2024-12-27 00:00:00+00:00,2025-06-27 00:00:00+00:00,10,0.006014237799458374,0.3,1.4326637941890266,0.04667485977371233,0.11358327654513989,-0.12448755420855173
10,2025-06-27 00:00:00+00:00,2025-12-26 00:00:00+00:00,13,-0.0065239153757203315,0.0,0.0,0.0001125287046079837,-0.18331548788931484,-0.13064441417473838
11,2025-12-26 00:00:00+00:00,2026-06-26 00:00:00+00:00,17,0.0009091567021707919,0.17647058823529413,1.1453790632472622,0.010619904045040096,-0.31511604683195593,-0.11840227557021998
12,2026-06-26 00:00:00+00:00,2026-09-07 23:00:00+00:00,11,0.008803252471306118,0.18181818181818182,2.013297251206963,0.05408271011134058,0.32589020178460193,-0.09808686460011462
