symbol,n_trades,expectancy_pct,ci_low,ci_high,median_pct,win_rate,positive_segments
BTC,155,0.009006032381496488,-0.0037274013980047966,0.02366834853436645,-0.007058524212454516,0.15483870967741936,9
ETH,150,0.014084484382240726,-0.0004680003568281092,0.02972031771681468,-0.007714296558775133,0.21333333333333335,9
BTC+ETH,305,0.011503631726124803,0.0018500916525794257,0.022341277033481988,-0.007412379274062832,0.18360655737704917,18
