strategy,symbol,n_trades,positive_segments,segments,expectancy_pct,ci_low,ci_high,median_pct,win_rate,profit_factor
baseline,BTC,155,9,12,0.009006032381496488,-0.0037274013980047966,0.02366834853436645,-0.007058524212454516,0.15483870967741936,1.66631968006502
filtered,BTC,35,2,11,-0.005721250646060393,-0.017261397225455416,0.012211105088337074,-0.011410660304711205,0.08571428571428572,0.6089915668098671
baseline,ETH,150,9,12,0.014084484382240726,-0.0004680003568281092,0.02972031771681468,-0.007714296558775133,0.21333333333333335,1.8455742254767475
filtered,ETH,29,5,11,0.000380530826011258,-0.027526023603060706,0.035159264931843494,-0.01282770087487821,0.2413793103448276,1.014280491500441
baseline,BTC+ETH,305,18,24,0.011503631726124803,0.0018500916525794257,0.022341277033481988,-0.007412379274062832,0.18360655737704917,1.7638202130817702
filtered,BTC+ETH,64,7,22,-0.0029563809165279262,-0.017920126137517138,0.014590881382561968,-0.011755205183889833,0.15625,0.8527425411103721
