t,S0,vol,p_model,p_market,edge
2026-07-22 17:00:20+00:00,66236.3,0.3757451823971365,0.9997305507523624,0.95,0.049730550752362435
2026-07-22 18:00:12+00:00,66033.7,0.37739121725892283,0.9996402260927282,0.945,0.05464022609272823
2026-07-22 19:00:07+00:00,65901.5,0.3789024012191608,0.9995612045059111,0.945,0.054561204505911176
2026-07-22 20:00:09+00:00,65956.7,0.3782297458285776,0.9995964602058954,0.515,0.4845964602058954
2026-07-22 21:00:12+00:00,65923.9,0.3786222624279109,0.9995759274520719,0.55,0.44957592745207187
2026-07-22 22:00:13+00:00,66059.9,0.37713252518405066,0.9996538083449578,0.51,0.48965380834495775
2026-07-22 23:00:08+00:00,66046.7,0.37726116464521975,0.9996470441346686,0.53,0.4696470441346686
2026-07-23 00:00:18+00:00,66113.0,0.3598339786919032,0.9998251258815736,0.99,0.009825125881573582
2026-07-23 01:00:21+00:00,66073.8,0.35993668813617274,0.9998156100381497,0.9895,0.010315610038149625
2026-07-23 02:00:09+00:00,65829.3,0.36124671630398575,0.9997381651314763,0.985,0.0147381651314763
2026-07-23 03:00:13+00:00,65803.7,0.36145030763322056,0.9997278736267265,0.99,0.009727873626726558
2026-07-23 04:00:12+00:00,65660.5,0.362819388841904,0.9996604967980339,0.985,0.01466049679803394
2026-07-23 05:00:23+00:00,65615.9,0.36332512146291696,0.9996356373840829,0.985,0.014635637384082911
2026-07-23 06:00:25+00:00,65691.2,0.36249309686970377,0.9996764656475687,0.99,0.009676465647568744
2026-07-23 07:00:16+00:00,65790.2,0.3615627139810292,0.9997222491323368,0.99,0.009722249132336769
2026-07-23 08:00:08+00:00,65443.8,0.3656258403628905,0.9995182260332693,0.9845,0.0150182260332693
2026-07-23 09:00:19+00:00,65631.2,0.36314740578137655,0.9996443952039707,0.9895,0.010144395203970702
2026-07-23 10:00:18+00:00,65625.0,0.36321889020848136,0.9996408758338249,0.9895,0.010140875833824836
2026-07-23 11:00:11+00:00,65732.9,0.3620784930581324,0.9996967664701373,0.9895,0.01019676647013723
2026-07-23 12:00:28+00:00,65556.1,0.36406190051680826,0.9995989540319841,0.9895,0.01009895403198402
2026-07-23 13:00:13+00:00,64977.1,0.37457847620641505,0.998936525674841,0.9895,0.00943652567484099
2026-07-23 14:00:13+00:00,64881.8,0.37687620849523173,0.9987465635507269,0.989,0.009746563550726894
2026-07-23 15:00:24+00:00,64910.0,0.3761802173020742,0.9988060717862681,0.9885,0.010306071786268078
2026-07-23 16:00:13+00:00,64953.4,0.37513543977131103,0.9996047710749003,0.9885,0.011104771074900266
2026-07-23 17:00:25+00:00,64751.8,0.3802568064204615,0.9994033390476023,0.9885,0.010903339047602212
