segment,start,end,n_trades,expectancy_pct,win_rate,profit_factor,strat_return,bench_return,max_drawdown,symbol,strategy
11,2025-12-26 00:00:00+00:00,2026-06-26 00:00:00+00:00,17,0.000909156702170757,0.17647058823529413,1.1453790632472567,-0.006417994817478068,-0.31511604683195593,-0.12903336907112328,BTC,baseline
12,2026-06-26 00:00:00+00:00,2026-09-07 23:00:00+00:00,11,0.008803252471306117,0.18181818181818182,2.0132972512069633,0.041541973482629224,0.32589020178460193,-0.10511783772840388,BTC,baseline
1,2021-01-01 00:00:00+00:00,2021-07-02 00:00:00+00:00,5,-0.015727374235805513,0.0,0.0,-0.08094101300153123,0.16483975067537204,-0.08957407530339956,BTC,filtered
2,2021-07-02 00:00:00+00:00,2021-12-31 00:00:00+00:00,0,,,,0.0,0.3937653887468364,0.0,BTC,filtered
3,2021-12-31 00:00:00+00:00,2022-07-01 00:00:00+00:00,5,-0.013381749761668255,0.0,0.0,-0.07009911419763337,-0.5688684067079095,-0.07009911419763337,BTC,filtered
4,2022-07-01 00:00:00+00:00,2022-12-30 00:00:00+00:00,5,-0.02345381081300508,0.0,0.0,-0.11648537712027718,-0.18061323236961868,-0.13560318117356207,BTC,filtered
5,2022-12-30 00:00:00+00:00,2023-06-30 00:00:00+00:00,1,-0.0029171181313117143,0.0,0.0,0.10577493610208544,0.830560352914576,-0.03724868842646378,BTC,filtered
6,2023-06-30 00:00:00+00:00,2023-12-29 00:00:00+00:00,3,-0.01930749639743131,0.0,0.0,-0.07312968728601787,0.3930763231841963,-0.1170573282944336,BTC,filtered
7,2023-12-29 00:00:00+00:00,2024-06-28 00:00:00+00:00,2,-0.012328904895948394,0.0,0.0,-0.02645902260808486,0.4516433682936658,-0.02645902260808486,BTC,filtered
8,2024-06-28 00:00:00+00:00,2024-12-27 00:00:00+00:00,10,0.015247926596436104,0.2,2.1928260429199926,0.11838226581501132,0.5561169590643273,-0.14144454336982681,BTC,filtered
9,2024-12-27 00:00:00+00:00,2025-06-27 00:00:00+00:00,1,0.031568064312364565,1.0,inf,0.030536496248052103,0.11358327654513989,-0.027186575784414857,BTC,filtered
10,2025-06-27 00:00:00+00:00,2025-12-26 00:00:00+00:00,1,-0.018300596875557237,0.0,0.0,-0.01928229627868172,-0.18331548788931484,-0.029422602206749637,BTC,filtered
11,2025-12-26 00:00:00+00:00,2026-06-26 00:00:00+00:00,1,-0.01022214153391921,0.0,0.0,-0.011211919392385306,-0.31511604683195593,-0.016065812201182528,BTC,filtered
12,2026-06-26 00:00:00+00:00,2026-09-07 23:00:00+00:00,1,-0.0074562733114662775,0.0,0.0,-0.00844881703815481,0.32589020178460193,-0.00844881703815481,BTC,filtered
1,2021-01-01 00:00:00+00:00,2021-07-02 00:00:00+00:00,10,0.06973046345367168,0.4,5.273801741957724,2.0874041496503684,1.9086871824212945,-0.2977668281325764,ETH,baseline
2,2021-07-02 00:00:00+00:00,2021-12-31 00:00:00+00:00,9,0.05166510199063011,0.3333333333333333,3.091311849294256,0.4443706264312375,0.733155986848884,-0.2080613070394064,ETH,baseline
3,2021-12-31 00:00:00+00:00,2022-07-01 00:00:00+00:00,12,-0.002028438820477688,0.08333333333333333,0.8688459729578537,-0.04944819739099682,-0.7038993676701075,-0.14018122347107898,ETH,baseline
4,2022-07-01 00:00:00+00:00,2022-12-30 00:00:00+00:00,8,0.015303733464852911,0.25,1.8502465190525341,0.09091233386318232,0.09516769336071174,-0.21030975295091958,ETH,baseline
5,2022-12-30 00:00:00+00:00,2023-06-30 00:00:00+00:00,13,0.010243938195566963,0.23076923076923078,1.5980490401943221,0.09716012323855439,0.5416281259635176,-0.21510160914986842,ETH,baseline
6,2023-06-30 00:00:00+00:00,2023-12-29 00:00:00+00:00,9,0.005000303963506064,0.2222222222222222,1.2757947343058051,0.03272779927277547,0.26665405405405407,-0.18354154197865813,ETH,baseline
7,2023-12-29 00:00:00+00:00,2024-06-28 00:00:00+00:00,9,0.045751964250075244,0.3333333333333333,2.3783779902932665,0.22267388380403386,0.4678296938945339,-0.2973718497443463,ETH,baseline
8,2024-06-28 00:00:00+00:00,2024-12-27 00:00:00+00:00,28,-0.0047820606072974375,0.10714285714285714,0.624323619767583,-0.16445614693047828,-0.026793969031102538,-0.26358841493942153,ETH,baseline
9,2024-12-27 00:00:00+00:00,2025-06-27 00:00:00+00:00,23,0.0004525617305538413,0.08695652173913043,1.030279301512482,-0.06833581775124475,-0.28292237006410903,-0.26996112208356315,ETH,baseline
10,2025-06-27 00:00:00+00:00,2025-12-26 00:00:00+00:00,12,0.022934813642266936,0.4166666666666667,2.663187671416986,0.22326089345663136,0.20981852722091676,-0.2364449679483014,ETH,baseline
11,2025-12-26 00:00:00+00:00,2026-06-26 00:00:00+00:00,12,-0.009106684595845932,0.16666666666666666,0.41699094498773637,-0.11866314476418238,-0.46118457300275484,-0.22133646846371435,ETH,baseline
12,2026-06-26 00:00:00+00:00,2026-09-08 23:00:00+00:00,5,0.0439806242381132,0.4,5.807975248249806,0.21726825781884074,0.5881819111406512,-0.0831346630782307,ETH,baseline
1,2021-01-01 00:00:00+00:00,2021-07-02 00:00:00+00:00,1,-0.08130619851917649,0.0,0.0,-0.08222489232065755,1.9086871824212945,-0.18367307876351813,ETH,filtered
2,2021-07-02 00:00:00+00:00,2021-12-31 00:00:00+00:00,2,-0.05452300458538108,0.0,0.0,-0.10802156294283272,0.733155986848884,-0.1645071176594124,ETH,filtered
3,2021-12-31 00:00:00+00:00,2022-07-01 00:00:00+00:00,3,-0.02428024190651083,0.0,0.0,-0.07387633815840033,-0.7038993676701075,-0.07387633815840033,ETH,filtered
4,2022-07-01 00:00:00+00:00,2022-12-30 00:00:00+00:00,1,-0.06057405934002468,0.0,0.0,-0.06151348528068468,0.09516769336071174,-0.1662288116900943,ETH,filtered
5,2022-12-30 00:00:00+00:00,2023-06-30 00:00:00+00:00,4,0.0005507305824758247,0.25,1.084283119364953,-0.0023254492174599184,0.5416281259635176,-0.08701547431399459,ETH,filtered
6,2023-06-30 00:00:00+00:00,2023-12-29 00:00:00+00:00,3,0.019823961754028303,0.3333333333333333,1.524314316359229,0.040366668854579624,0.26665405405405407,-0.1204192245565201,ETH,filtered
7,2023-12-29 00:00:00+00:00,2024-06-28 00:00:00+00:00,1,0.09217267995902671,1.0,inf,0.09108050727906747,0.4678296938945339,-0.06463253420986825,ETH,filtered
8,2024-06-28 00:00:00+00:00,2024-12-27 00:00:00+00:00,10,-0.006821190375849747,0.2,0.6565049757870903,-0.08676182679200817,-0.026793969031102538,-0.17899531515016898,ETH,filtered
9,2024-12-27 00:00:00+00:00,2025-06-27 00:00:00+00:00,2,0.13069697645873063,0.5,3.9282981338465244,0.22763351377506003,-0.28292237006410903,-0.1850212971867109,ETH,filtered
10,2025-06-27 00:00:00+00:00,2025-12-26 00:00:00+00:00,0,,,,0.0,0.20981852722091676,0.0,ETH,filtered
11,2025-12-26 00:00:00+00:00,2026-06-26 00:00:00+00:00,1,-0.021581275604772493,0.0,0.0,-0.02255969432916749,-0.46118457300275484,-0.04035340369344542,ETH,filtered
12,2026-06-26 00:00:00+00:00,2026-09-08 23:00:00+00:00,1,0.009354125598616021,1.0,inf,0.008344771473017376,0.5881819111406512,-0.05745307076757544,ETH,filtered
