segment,start,end,n_trades,expectancy_acct_pct,win_rate,profit_factor,strat_return,bench_return,max_drawdown,symbol,system
5,2022-12-30 00:00:00+00:00,2023-06-30 00:00:00+00:00,22,0.0036187396925048505,0.2727272727272727,1.1331000131731745,0.055782967570569,0.5416281259635176,-0.24029952890376194,ETH,atrstop
6,2023-06-30 00:00:00+00:00,2023-12-29 00:00:00+00:00,18,-0.0003924614029875731,0.2222222222222222,0.9058535526809031,0.036911075566715024,0.26665405405405407,-0.1702811442284229,ETH,atrstop
7,2023-12-29 00:00:00+00:00,2024-06-28 00:00:00+00:00,16,0.028045456202819227,0.25,1.9887737247854047,0.2518719537772087,0.4678296938945339,-0.23783572218533255,ETH,atrstop
8,2024-06-28 00:00:00+00:00,2024-12-27 00:00:00+00:00,33,-0.0043465566708547525,0.12121212121212122,0.547471014193558,-0.14649176400194275,-0.026793969031102538,-0.25781836605817066,ETH,atrstop
9,2024-12-27 00:00:00+00:00,2025-06-27 00:00:00+00:00,29,-0.000592439282205857,0.10344827586206896,0.8162965558256152,-0.06981163114099465,-0.28292237006410903,-0.27911232414497866,ETH,atrstop
10,2025-06-27 00:00:00+00:00,2025-12-26 00:00:00+00:00,14,0.01950882725258769,0.35714285714285715,2.161522448902912,0.23951512227571192,0.20981852722091676,-0.23639623967712287,ETH,atrstop
11,2025-12-26 00:00:00+00:00,2026-06-26 00:00:00+00:00,17,-0.007805639915751159,0.11764705882352941,0.3998840774571124,-0.13032133379598188,-0.46118457300275484,-0.22796703206815094,ETH,atrstop
12,2026-06-26 00:00:00+00:00,2026-09-08 23:00:00+00:00,8,0.025932856018689585,0.375,3.51999287876101,0.20875074958049145,0.5881819111406512,-0.08504235748405842,ETH,atrstop
1,2021-01-01 00:00:00+00:00,2021-07-02 00:00:00+00:00,11,0.013171604894996698,0.36363636363636365,5.211111417433875,0.4235873138532289,1.9086871824212945,-0.1345334760292758,ETH,sized
2,2021-07-02 00:00:00+00:00,2021-12-31 00:00:00+00:00,16,0.0026997331950454834,0.125,1.4115330775267592,0.03918423159163331,0.733155986848884,-0.10928933059951718,ETH,sized
