interval,variant,n_bars,total_return,cagr,max_drawdown,sharpe,volatility,n_trades,win_rate,profit_factor,expectancy_pct,avg_holding_bars,benchmark_return,avg_hold_hours,final_equity
5m,A_同参数(48/336/1440根),239040,-0.09232481651206415,-0.04170429788297325,-0.11874951117127663,-2.0645639587372733,0.02055493060753884,963,0.13395638629283488,0.6537077991414009,-0.0015040475419299698,93.27102803738318,0.15976731273766442,7.772585669781931,9076.751834879358
5m,B_时间等比(48h/336h/1440h),239040,-0.004498501245628561,-0.001980755266229761,-0.02895285535194214,-0.10071319699625403,0.018088860930719503,193,0.07772020725388601,0.966762744017926,-0.00014516223260441018,452.14507772020727,0.15976731273766442,37.67875647668394,9955.014987543715
15m,A_同参数(48/336/1440根),79680,-0.017470204015192614,-0.007720622759348816,-0.05374858012077688,-0.39184054906027865,0.019327922527859795,299,0.13712374581939799,0.8585801113038098,-0.0008635797775069455,101.39799331103679,0.1608186887905756,25.349498327759196,9825.297959848074
15m,B_时间等比(48h/336h/1440h),79680,0.00700925791862117,0.0030763544030787404,-0.02391097286076249,0.1832874932083273,0.017624623338702964,122,0.12295081967213115,1.1707212964322005,0.0011846910574141818,238.4262295081967,0.1608186887905756,59.60655737704918,10070.092579186212
30m,A_同参数(48/336/1440根),39840,0.00226428516002386,0.0009951090316366873,-0.03834658260765578,0.06465048972533001,0.017867032030924906,160,0.15,1.0289148216392616,0.00024843425432762354,93.325,0.16128054389797009,46.6625,10022.642851600238
30m,B_时间等比(48h/336h/1440h),39840,0.011144101739107182,0.004885508947167327,-0.020056656641144754,0.2872605910722308,0.01751963913352748,96,0.15625,1.2698523234446515,0.002136289834949446,151.51041666666666,0.16128054389797009,75.75520833333333,10111.441017391073
1h,A_同参数(48/336/1440根),19920,0.01459339155294459,0.006391538616621784,-0.016464037802266795,0.37369720764332937,0.017477742266950754,75,0.18666666666666668,1.3639385881542232,0.003436904387828467,96.93333333333334,0.1596339463690104,96.93333333333334,10145.933915529446
1h,B_时间等比(48h/336h/1440h),19920,0.01459339155294459,0.006391538616621784,-0.016464037802266795,0.37369720764332937,0.017477742266950754,75,0.18666666666666668,1.3639385881542232,0.003436904387828467,96.93333333333334,0.1596339463690104,96.93333333333334,10145.933915529446
4h,A_同参数(48/336/1440根),4980,0.009412112103311499,0.004128201705141832,-0.027698866766751595,0.2086690166659474,0.02076153138973004,15,0.2,1.0822641896248566,0.0049956916213976105,118.6,0.1586124319596265,474.4,10094.121121033115
4h,B_时间等比(48h/336h/1440h),4980,0.016831557857632573,0.007367233281369234,-0.014874025227987087,0.4251853889829451,0.01765026970941649,50,0.24,1.4634015948479264,0.005814778017743496,36.36,0.1586124319596265,145.44,10168.315578576325
