预算,方案,风险,回撤,收益,上涨日,交易,最长空仓,在场,月均,100U月均
0.05,现状 48/336+1440闸门,0.03822203853710699,-0.04951146446512622,0.04928574156966925,0.16422764227642275,46,111,0.3068181818181818,0.002439443859155662,0.2439443859155662
0.1,现状 48/336+1440闸门,0.07644407707421398,-0.09702129468487342,0.09611957640867819,0.16422764227642275,46,111,0.3068181818181818,0.004757528302244169,0.47575283022441694
0.2,现状 48/336+1440闸门,0.15288815414842796,-0.1863786468392421,0.18147876853675804,0.16422764227642275,46,111,0.3068181818181818,0.008982461323998235,0.8982461323998235
0.05,更快 24/168+1440闸门,0.03258856856211318,-0.049693073007679445,0.027204722495289158,0.15447154471544716,65,111,0.27435064935064934,0.001346523175213987,0.1346523175213987
0.1,更快 24/168+1440闸门,0.06517713712422636,-0.0977853919286703,0.05155898981428986,0.15447154471544716,65,111,0.27435064935064934,0.0025519604064178593,0.2551960406417859
0.2,更快 24/168+1440闸门,0.13035427424845272,-0.18909531694739334,0.09154259145865118,0.15447154471544716,65,111,0.27435064935064934,0.004530986152847711,0.4530986152847711
0.05,只看 收盘>SMA1440,0.017461472153405322,-0.05017942876931347,0.017761823822664446,0.2146341463414634,75,111,0.4090909090909091,0.0008791380766860257,0.08791380766860257
0.1,只看 收盘>SMA1440,0.034922944306810644,-0.09792342914238839,0.03428253412061122,0.2146341463414634,75,111,0.4090909090909091,0.0016968460790754562,0.1696846079075456
0.2,只看 收盘>SMA1440,0.06984588861362129,-0.1865540615015654,0.06358575515450138,0.2146341463414634,75,111,0.4090909090909091,0.0031472364014683285,0.31472364014683285
0.05,48/336 无闸门,0.024400237438687217,-0.04978373743187037,0.007817532628370483,0.25365853658536586,39,41,0.487012987012987,0.0003869360865164187,0.03869360865164187
0.1,48/336 无闸门,0.04880047487737443,-0.09721532180400794,0.01314119481834175,0.25365853658536586,39,41,0.487012987012987,0.0006504357240167852,0.06504357240167852
0.2,48/336 无闸门,0.09760094975474887,-0.1854718992674229,0.016446977503508542,0.25365853658536586,39,41,0.487012987012987,0.0008140585287915448,0.08140585287915449
