segment,start,end,n_trades,expectancy_pct,win_rate,profit_factor,strat_return,bench_return,max_drawdown
1,2021-01-01 00:00:00+00:00,2021-07-02 00:00:00+00:00,10,0.06973046345367168,0.4,5.273801741957724,2.0874041496503684,1.9086871824212945,-0.2977668281325764
2,2021-07-02 00:00:00+00:00,2021-12-31 00:00:00+00:00,9,0.05166510199063011,0.3333333333333333,3.091311849294256,0.4443706264312375,0.733155986848884,-0.2080613070394064
3,2021-12-31 00:00:00+00:00,2022-07-01 00:00:00+00:00,12,-0.002028438820477688,0.08333333333333333,0.8688459729578537,-0.04944819739099682,-0.7038993676701075,-0.14018122347107898
4,2022-07-01 00:00:00+00:00,2022-12-30 00:00:00+00:00,8,0.015303733464852911,0.25,1.8502465190525341,0.09091233386318232,0.09516769336071174,-0.21030975295091958
5,2022-12-30 00:00:00+00:00,2023-06-30 00:00:00+00:00,13,0.010243938195566963,0.23076923076923078,1.5980490401943221,0.09716012323855439,0.5416281259635176,-0.21510160914986842
6,2023-06-30 00:00:00+00:00,2023-12-29 00:00:00+00:00,9,0.005000303963506064,0.2222222222222222,1.2757947343058051,0.03272779927277547,0.26665405405405407,-0.18354154197865813
7,2023-12-29 00:00:00+00:00,2024-06-28 00:00:00+00:00,9,0.045751964250075244,0.3333333333333333,2.3783779902932665,0.22267388380403386,0.4678296938945339,-0.2973718497443463
8,2024-06-28 00:00:00+00:00,2024-12-27 00:00:00+00:00,28,-0.0047820606072974375,0.10714285714285714,0.624323619767583,-0.16445614693047828,-0.026793969031102538,-0.26358841493942153
9,2024-12-27 00:00:00+00:00,2025-06-27 00:00:00+00:00,23,0.0004525617305538413,0.08695652173913043,1.030279301512482,-0.06833581775124475,-0.28292237006410903,-0.26996112208356315
10,2025-06-27 00:00:00+00:00,2025-12-26 00:00:00+00:00,12,0.022934813642266936,0.4166666666666667,2.663187671416986,0.22326089345663136,0.20981852722091676,-0.2364449679483014
11,2025-12-26 00:00:00+00:00,2026-06-26 00:00:00+00:00,12,-0.009106684595845932,0.16666666666666666,0.41699094498773637,-0.11866314476418238,-0.46118457300275484,-0.22133646846371435
12,2026-06-26 00:00:00+00:00,2026-09-07 23:00:00+00:00,5,0.0439806242381132,0.4,5.807975248249806,0.21976641404640707,0.5914412802290505,-0.0831346630782307
