variant,label,n_trades,expectancy,ci_lo,ci_hi,pos_segments
base,杂交策略(不加形态),307,0.0003775915895035051,-0.00021027953889783807,0.0010321860885892976,15/24
v_dump,瀑布/砸盘离场+24h冷却,372,0.0003767733831301796,-0.00013729903455921247,0.0009483068080444023,16/24
v_dump_range,+盘整不开仓,362,0.00039162115396900767,-0.00011213274452154723,0.0009844072964983442,16/24
v_dump_pump,+拉盘不追高,372,0.0003767733831301796,-0.00012899618195346278,0.0009649298907223254,16/24
v_all,全部形态规则,362,0.00039162115396900767,-0.0001336704931192004,0.0009640686160399472,16/24
