label,days,total,dd,up_days,flat_days,down_days,in_mkt,trades,win_rate,pf,cagr,period
C+ 原版(风险0.75%/仓位上限60%),624,-0.046352903034242776,-0.06423854566062426,0.10256410256410256,0.7884615384615384,0.10897435897435898,0.2,26,0.3076923076923077,0.39583254069691265,-0.027336964373094408,样本外 2025-01 起
C+ 激进版(风险2%/仓位上限90%),624,-0.12094715443650439,-0.16385056089705008,0.10256410256410256,0.7884615384615384,0.10897435897435898,0.2,26,0.3076923076923077,0.3956261644402144,-0.07251957848061519,样本外 2025-01 起
C+ 原版 每周才轮动一次,624,-0.03002957984968868,-0.05637802786360291,0.09455128205128205,0.8076923076923077,0.09775641025641026,0.1824,21,0.23809523809523808,0.5188389676510422,-0.01764839650077321,样本外 2025-01 起
C+ 原版(风险0.75%/仓位上限60%),1834,0.09220762345804734,-0.06540667498609631,0.14231188658669575,0.7197382769901853,0.13794983642311887,0.27084468664850136,71,0.323943661971831,1.5505829833297182,0.017698867339954072,全区间 2021-09 起
C+ 激进版(风险2%/仓位上限90%),1834,0.2280126195370742,-0.1487399685714984,0.14231188658669575,0.7197382769901853,0.13794983642311887,0.27084468664850136,71,0.323943661971831,1.468648465336069,0.04170162627163365,全区间 2021-09 起
C+ 原版 每周才轮动一次,1834,0.04316907473661247,-0.057882903482064596,0.13685932388222466,0.7350054525627044,0.12813522355507087,0.25776566757493186,60,0.35,1.2524266764014744,0.008442024522728353,全区间 2021-09 起
C+ 原版(风险0.75%/仓位上限60%),1210,0.10710940074276509,-0.06540667498609631,0.16033057851239668,0.6933884297520662,0.14628099173553719,0.2989265070189926,42,0.3333333333333333,1.749326722459307,0.031143708206179177,前段 2021-09~2024-12
C+ 激进版(风险2%/仓位上限90%),1210,0.2749851271409174,-0.1487399685714984,0.16033057851239668,0.6933884297520662,0.14628099173553719,0.2989265070189926,42,0.3333333333333333,1.6570186984701614,0.07596871407186878,前段 2021-09~2024-12
C+ 原版 每周才轮动一次,1210,0.06344132006117498,-0.057882903482064596,0.15537190082644628,0.7066115702479339,0.13801652892561983,0.28819157720891825,33,0.3939393939393939,1.4077163722950543,0.018712322930906522,前段 2021-09~2024-12
