time_utc,side,reason,expected_px,fill_px,slippage_pct,notional,units,pnl_acct_pct,balance
2021-08-31 17:00:00+00:00,SELL,signal,47193.51,47100.99,+0.0000%,770.90,0.01636693,-0.3956%,12365.63
2021-09-02 18:00:00+00:00,BUY,signal,49371.96,49371.96,+0.0000%,772.21,0.01564064,+0.0000%,11593.96
2021-09-08 16:00:00+00:00,SELL,signal,49371.96,46423.64,+0.0000%,726.10,0.01564064,-6.1596%,12273.21
2021-09-17 00:00:00+00:00,BUY,signal,47499.99,47499.99,+0.0000%,769.04,0.01619028,+0.0000%,11546.35
2021-09-20 07:00:00+00:00,SELL,signal,47499.99,44824.89,+0.0000%,725.73,0.01619028,-5.8204%,12228.04
2021-09-20 08:00:00+00:00,BUY,signal,45046.55,45046.55,+0.0000%,766.05,0.01700583,+0.0000%,11501.55
2021-09-20 09:00:00+00:00,SELL,signal,45046.55,44844.02,+0.0000%,762.61,0.01700583,-0.6486%,12259.95
2021-10-01 18:00:00+00:00,BUY,signal,47724.18,47724.18,+0.0000%,765.72,0.01604475,+0.0000%,11496.57
2021-10-27 16:00:00+00:00,SELL,signal,47724.18,58867.81,+0.0000%,944.52,0.01604475,+23.1035%,12618.94
2021-11-02 22:00:00+00:00,BUY,signal,62928.65,62928.65,+0.0000%,777.52,0.01235553,+0.0000%,11673.65
2021-11-06 04:00:00+00:00,SELL,signal,62928.65,61193.63,+0.0000%,756.08,0.01235553,-2.9515%,12407.53
2021-11-08 00:00:00+00:00,BUY,signal,64999.68,64999.68,+0.0000%,775.99,0.01193832,+0.0000%,11650.68
2021-11-16 12:00:00+00:00,SELL,signal,64999.68,60038.95,+0.0000%,716.76,0.01193832,-7.8166%,12307.50
2022-02-07 15:00:00+00:00,BUY,signal,43835.59,43835.59,+0.0000%,771.94,0.01760996,+0.0000%,11589.96
2022-02-08 12:00:00+00:00,SELL,signal,43835.59,43458.92,+0.0000%,765.31,0.01760996,-1.0575%,12347.88
2022-02-08 13:00:00+00:00,BUY,signal,43624.95,43624.95,+0.0000%,771.40,0.01768252,+0.0000%,11581.79
2022-02-08 14:00:00+00:00,SELL,signal,43624.95,43579.31,+0.0000%,770.59,0.01768252,-0.3043%,12350.81
2022-02-08 20:00:00+00:00,BUY,signal,44271.95,44271.95,+0.0000%,771.24,0.01742056,+0.0000%,11579.44
2022-02-09 02:00:00+00:00,SELL,signal,44271.95,43340.22,+0.0000%,755.01,0.01742056,-2.3003%,12317.47
2022-02-09 05:00:00+00:00,BUY,signal,43584.93,43584.93,+0.0000%,770.06,0.01766803,+0.0000%,11561.69
2022-02-09 08:00:00+00:00,SELL,signal,43584.93,43399.78,+0.0000%,766.79,0.01766803,-0.6239%,12324.44
2022-02-09 10:00:00+00:00,BUY,signal,43614.04,43614.04,+0.0000%,769.74,0.01764889,+0.0000%,11556.88
2022-02-11 00:00:00+00:00,SELL,signal,43614.04,43040.01,+0.0000%,759.61,0.01764889,-1.5134%,12305.60
2022-02-11 09:00:00+00:00,BUY,signal,43492.64,43492.64,+0.0000%,768.96,0.01768030,+0.0000%,11545.22
2022-02-11 11:00:00+00:00,SELL,signal,43492.64,43357.53,+0.0000%,766.57,0.01768030,-0.5099%,12308.64
2022-02-11 12:00:00+00:00,BUY,signal,43570.77,43570.77,+0.0000%,768.70,0.01764259,+0.0000%,11541.29
2022-02-11 18:00:00+00:00,SELL,signal,43570.77,42664.58,+0.0000%,752.71,0.01764259,-2.2756%,12277.27
2022-02-15 01:00:00+00:00,BUY,signal,43465.96,43465.96,+0.0000%,767.54,0.01765831,+0.0000%,11523.78
2022-02-17 13:00:00+00:00,SELL,signal,43465.96,42239.99,+0.0000%,745.89,0.01765831,-3.0148%,12247.28
2022-03-01 06:00:00+00:00,BUY,signal,43453.28,43453.28,+0.0000%,765.99,0.01762796,+0.0000%,11500.62
2022-03-04 15:00:00+00:00,SELL,signal,43453.28,40694.32,+0.0000%,717.36,0.01762796,-6.5365%,12168.63
2022-03-04 16:00:00+00:00,BUY,signal,40754.40,40754.40,+0.0000%,762.65,0.01871343,+0.0000%,11450.51
2022-03-04 18:00:00+00:00,SELL,signal,40754.40,40605.88,+0.0000%,759.88,0.01871343,-0.5636%,12206.84
2022-03-09 22:00:00+00:00,BUY,signal,41892.07,41892.07,+0.0000%,762.37,0.01819839,+0.0000%,11446.20
2022-03-10 04:00:00+00:00,SELL,signal,41892.07,39540.63,+0.0000%,719.58,0.01819839,-5.8018%,12122.27
2022-03-17 00:00:00+00:00,BUY,signal,41016.83,41016.83,+0.0000%,759.42,0.01851482,+0.0000%,11401.93
2022-04-06 17:00:00+00:00,SELL,signal,41016.83,43815.28,+0.0000%,811.23,0.01851482,+6.6091%,12264.17
2022-04-21 01:00:00+00:00,BUY,signal,41674.49,41674.49,+0.0000%,762.77,0.01830293,+0.0000%,11452.17
2022-04-21 02:00:00+00:00,SELL,signal,41674.49,41623.24,+0.0000%,761.83,0.01830293,-0.3226%,12212.30
2022-04-21 03:00:00+00:00,BUY,signal,41693.58,41693.58,+0.0000%,762.60,0.01829062,+0.0000%,11449.71
2022-04-21 04:00:00+00:00,SELL,signal,41693.58,41610.01,+0.0000%,761.07,0.01829062,-0.3999%,12208.49
2022-04-21 07:00:00+00:00,BUY,signal,41855.69,41855.69,+0.0000%,762.40,0.01821492,+0.0000%,11446.65
2022-04-21 17:00:00+00:00,SELL,signal,41855.69,41554.00,+0.0000%,756.90,0.01821492,-0.9192%,12197.31
2022-07-20 14:00:00+00:00,BUY,signal,24191.35,24191.35,+0.0000%,761.93,0.03149600,+0.0000%,11439.64
