label,in_mkt,up,flat,dn,streak,total,maxdd,avg,vol
① 始终在场(买入持有),1.0,0.4959349593495935,0.0,0.5040650406504065,7,-0.15441667681771987,-0.529324569586509,-1.2556305677657412e-05,0.02281596745601371
② 收盘>SMA1440 才在场(慢闸门),0.4090909090909091,0.2146341463414634,0.5495934959349593,0.23577235772357724,7,0.02024083905458629,-0.05726893993900628,3.40204680732787e-05,0.001697895276958256
③ 收盘>SMA480 才在场(快闸门),0.46915584415584416,0.25365853658536586,0.4373983739837398,0.3089430894308943,6,-0.033352276592142904,-0.07445676738638507,-5.321048090005448e-05,0.0019745811648413714
④ 48/336 无闸门,0.487012987012987,0.25365853658536586,0.4585365853658537,0.28780487804878047,6,0.0065927697537266905,-0.040983207745940775,1.2377719514183826e-05,0.0018427137692628801
⑤ 现状 48/336 + 1440闸门,0.3068181818181818,0.16422764227642275,0.656910569105691,0.17886178861788618,6,0.026078965109396446,-0.02616291642920021,4.294563980247389e-05,0.001474684653005616
⑥ 24/168 + 1440闸门(更快),0.27435064935064934,0.15447154471544716,0.6650406504065041,0.18048780487804877,5,0.017030456954525208,-0.03068560676710974,2.8412238678426407e-05,0.001383343244715484
⑦ 96/672 + 1440闸门(更慢更严),0.32142857142857145,0.16910569105691056,0.6455284552845528,0.18536585365853658,7,0.005361384502864164,-0.05024279445261093,9.81904944443976e-06,0.0015020435572614904
