label,in_mkt,up,flat,dn,streak,total,maxdd,avg,vol
① 始终在场(买入持有),1.0,0.5063948840927258,0.0,0.4936051159072742,8,7.562199461587786,-0.7661888272171677,0.001363655636153746,0.03148074797946285
② 收盘>SMA1440 才在场(慢闸门),0.5305633240111866,0.2821742605915268,0.4324540367705835,0.2853717026378897,8,0.41625455114658827,-0.10117889011271541,0.00014401532673693395,0.003136087708984896
③ 收盘>SMA480 才在场(快闸门),0.5313623651618058,0.2945643485211831,0.3832933653077538,0.32214228617106316,10,0.22949842147145305,-0.10102600063504386,8.765867694021949e-05,0.0031882259423973883
④ 48/336 无闸门,0.5337594886136636,0.28177458033573144,0.41207034372502,0.3061550759392486,7,0.2633275230491512,-0.11486582571114767,9.799359688280675e-05,0.0030238126760092914
⑤ 现状 48/336 + 1440闸门,0.3987215341590092,0.2182254196642686,0.5579536370903277,0.22382094324540366,7,0.3555246137178931,-0.0778756831099825,0.00012523086557984426,0.0027027284847821005
⑥ 24/168 + 1440闸门(更快),0.3567718737514982,0.20423661071143084,0.5731414868105515,0.22262190247801758,6,0.36448556350056127,-0.06699971917116643,0.0001275711952368686,0.002591745694631311
⑦ 96/672 + 1440闸门(更慢更严),0.44027167399121053,0.23741007194244604,0.5295763389288569,0.23301358912869705,8,0.3438366140675799,-0.08437061018123604,0.00012236287668679908,0.0029136382386325626
