variant,n_trades,blocked,expectancy_pct,median_pct,win_rate,test_return,max_drawdown
基线(无成交量门),53,0,0.0036114341358597477,-0.005682490671375208,0.20754716981132076,0.021460582858050747,-0.030665717546630056
量门 1.0x,30,68,0.0008014730816999358,-0.006584882003113978,0.2,0.0029602750870101335,-0.022668736807488044
量门 1.2x,24,91,-0.0010576270882710018,-0.0070989138599755666,0.16666666666666666,-0.00355575625412774,-0.028421643200720048
量门 1.5x,16,110,0.003597749684994915,-0.007187822540385164,0.1875,0.0075340167507977895,-0.020391726887993733
量门 2.0x,8,127,0.012058261286595262,-0.008839207422692754,0.25,0.012787473217541256,-0.012109591990453139
量门 3.0x,5,152,0.006716098098501705,-0.01022214153391918,0.2,0.0044196359374684135,-0.01239699366692315
量门1.5x + ATR门,4,141,-0.0011027368521446077,-0.008839207422692735,0.25,-0.000600570736536854,-0.006302056692671476
