system,symbol,n_trades,positive_segments,segments,expectancy_acct_pct,ci_low,ci_high,median_acct_pct,win_rate,profit_factor
base,BTC+ETH,305,18,24,0.01149212809439868,0.001848241560926851,0.022318935756448503,-0.0074049668947886475,0.18360655737704917,1.7228726472737117
atrstop,BTC+ETH,416,16,24,0.007160244637936955,-6.0220733738972605e-05,0.015255571223647565,-0.008991399406392554,0.1875,1.5298859838707288
sized,BTC+ETH,416,16,24,0.003214851645656156,-0.0001774261587481025,0.007269609234838696,-0.004335358635348622,0.1875,1.5316266819187117
base,BTC,155,9,12,0.008997026349115006,-0.003723673996606773,0.0236446801858321,-0.007051465688241904,0.15483870967741936,1.5271641512324148
base,ETH,150,9,12,0.014070399897858481,-0.00046753235647129323,0.02969059739909786,-0.007706582262216261,0.21333333333333335,1.8964873815520702
atrstop,BTC,209,9,12,0.005751201895568438,-0.0036455809937407375,0.016417931992679165,-0.008115867487452468,0.18181818181818182,1.3952539498754215
atrstop,ETH,207,7,12,0.008582901319845264,-0.0018469151638797856,0.020401614454869234,-0.00944884009385055,0.1932367149758454,1.6541674242793094
sized,BTC,209,7,12,0.0031189298129629455,-0.0019362407889779222,0.009230842267964027,-0.004821618871233361,0.18181818181818182,1.4520185963224037
sized,ETH,207,9,12,0.0033117002593415707,-0.00100729481042704,0.008450603047510163,-0.0036785582040797333,0.1932367149758454,1.6213671812018202
