asset,variant,return,max_dd,n_trades,blocks
BTC,base,0.009457269022763892,-0.016464037802267018,52,0
BTC,v_dump,0.009457269022763892,-0.016464037802267018,52,0
BTC,v_dump_range,0.009620402369834524,-0.016464037802267018,51,1
BTC,v_dump_pump,0.009457269022763892,-0.016464037802267018,52,0
BTC,v_all,0.009620402369834524,-0.016464037802267018,51,1
ETH,base,0.02670293306606264,-0.027935565112813587,52,0
ETH,v_dump,0.019163442803103337,-0.03031753309235652,54,58
ETH,v_dump_range,0.017973691371151457,-0.031383493254452666,53,65
ETH,v_dump_pump,0.019163442803103337,-0.03031753309235652,54,58
ETH,v_all,0.017973691371151457,-0.031383493254452666,53,65
